Date,Word,Count
2020-01-01,hearing,87
2020-01-01,patients,54
2020-01-01,recognition,47
2020-01-01,intelligibility,42
2020-01-01,features,40
2020-01-01,ci,37
2020-01-01,cognitive,33
2020-01-01,social,31
2020-01-02,hearing,102
2020-01-02,patients,59
2020-01-02,participants,53
2020-01-02,recognition,51
2020-01-02,communication,50
2020-01-02,features,48
2020-01-02,group,47
2020-01-02,present,46
2020-01-03,hearing,105
2020-01-03,recognition,71
2020-01-03,patients,61
2020-01-03,communication,59
2020-01-03,participants,58
2020-01-03,intelligibility,50
2020-01-03,features,49
2020-01-03,people,49
2020-01-04,hearing,105
2020-01-04,recognition,72
2020-01-04,patients,69
2020-01-04,communication,61
2020-01-04,participants,58
2020-01-04,intelligibility,51
2020-01-04,quality,50
2020-01-04,features,49
2020-01-05,hearing,105
2020-01-05,recognition,77
2020-01-05,patients,69
2020-01-05,communication,61
2020-01-05,participants,61
2020-01-05,intelligibility,51
2020-01-05,quality,50
2020-01-05,people,50
2020-01-06,hearing,105
2020-01-06,patients,89
2020-01-06,recognition,84
2020-01-06,communication,61
2020-01-06,participants,61
2020-01-06,group,54
2020-01-06,intelligibility,51
2020-01-06,quality,51
2020-01-07,hearing,107
2020-01-07,patients,90
2020-01-07,recognition,84
2020-01-07,intelligibility,66
2020-01-07,communication,63
2020-01-07,participants,62
2020-01-07,noise,61
2020-01-07,children,61
2020-01-08,hearing,149
2020-01-08,children,92
2020-01-08,patients,90
2020-01-08,recognition,88
2020-01-08,communication,73
2020-01-08,intelligibility,71
2020-01-08,group,68
2020-01-08,participants,62
2020-01-09,hearing,152
2020-01-09,patients,99
2020-01-09,children,97
2020-01-09,recognition,89
2020-01-09,communication,77
2020-01-09,intelligibility,75
2020-01-09,group,68
2020-01-09,participants,65
2020-01-10,hearing,158
2020-01-10,patients,121
2020-01-10,children,100
2020-01-10,recognition,92
2020-01-10,intelligibility,80
2020-01-10,communication,78
2020-01-10,group,75
2020-01-10,participants,74
2020-01-11,hearing,158
2020-01-11,patients,121
2020-01-11,children,103
2020-01-11,recognition,93
2020-01-11,intelligibility,80
2020-01-11,communication,78
2020-01-11,group,75
2020-01-11,participants,74
2020-01-12,hearing,158
2020-01-12,patients,121
2020-01-12,children,103
2020-01-12,recognition,94
2020-01-12,intelligibility,80
2020-01-12,communication,79
2020-01-12,group,75
2020-01-12,participants,74
2020-01-13,hearing,158
2020-01-13,patients,121
2020-01-13,children,106
2020-01-13,recognition,101
2020-01-13,intelligibility,80
2020-01-13,communication,79
2020-01-13,participants,76
2020-01-13,group,75
2020-01-14,hearing,164
2020-01-14,patients,123
2020-01-14,recognition,110
2020-01-14,children,107
2020-01-14,noise,81
2020-01-14,intelligibility,80
2020-01-14,communication,80
2020-01-14,participants,80
2020-01-15,hearing,168
2020-01-15,patients,126
2020-01-15,recognition,113
2020-01-15,children,112
2020-01-15,noise,87
2020-01-15,communication,82
2020-01-15,participants,82
2020-01-15,intelligibility,81
2020-01-16,hearing,168
2020-01-16,patients,126
2020-01-16,recognition,114
2020-01-16,children,112
2020-01-16,participants,88
2020-01-16,noise,87
2020-01-16,communication,82
2020-01-16,intelligibility,81
2020-01-17,hearing,185
2020-01-17,children,132
2020-01-17,patients,129
2020-01-17,recognition,119
2020-01-17,participants,94
2020-01-17,noise,89
2020-01-17,group,84
2020-01-17,communication,83
2020-01-18,hearing,185
2020-01-18,children,132
2020-01-18,patients,129
2020-01-18,recognition,120
2020-01-18,participants,94
2020-01-18,noise,89
2020-01-18,group,84
2020-01-18,communication,83
2020-01-19,hearing,185
2020-01-19,children,132
2020-01-19,patients,129
2020-01-19,recognition,120
2020-01-19,participants,94
2020-01-19,noise,90
2020-01-19,group,84
2020-01-19,communication,83
2020-01-20,hearing,188
2020-01-20,children,143
2020-01-20,patients,140
2020-01-20,recognition,127
2020-01-20,participants,98
2020-01-20,noise,94
2020-01-20,features,88
2020-01-20,group,85
2020-01-21,hearing,215
2020-01-21,children,165
2020-01-21,patients,149
2020-01-21,recognition,127
2020-01-21,participants,99
2020-01-21,communication,97
2020-01-21,noise,95
2020-01-21,features,92
2020-01-22,hearing,216
2020-01-22,children,165
2020-01-22,patients,150
2020-01-22,recognition,140
2020-01-22,participants,101
2020-01-22,communication,97
2020-01-22,noise,97
2020-01-22,features,96
2020-01-23,hearing,230
2020-01-23,children,169
2020-01-23,patients,150
2020-01-23,recognition,141
2020-01-23,noise,105
2020-01-23,participants,102
2020-01-23,features,101
2020-01-23,communication,99
2020-01-24,hearing,231
2020-01-24,children,172
2020-01-24,patients,165
2020-01-24,recognition,150
2020-01-24,noise,106
2020-01-24,features,103
2020-01-24,participants,102
2020-01-24,communication,100
2020-01-25,hearing,232
2020-01-25,children,172
2020-01-25,patients,165
2020-01-25,recognition,156
2020-01-25,participants,108
2020-01-25,noise,106
2020-01-25,features,105
2020-01-25,communication,100
2020-01-26,hearing,232
2020-01-26,children,173
2020-01-26,patients,165
2020-01-26,recognition,157
2020-01-26,participants,108
2020-01-26,noise,106
2020-01-26,features,105
2020-01-26,communication,100
2020-01-27,hearing,239
2020-01-27,children,174
2020-01-27,patients,165
2020-01-27,recognition,163
2020-01-27,noise,116
2020-01-27,participants,110
2020-01-27,features,108
2020-01-27,communication,102
2020-01-28,hearing,241
2020-01-28,children,178
2020-01-28,patients,168
2020-01-28,recognition,167
2020-01-28,noise,119
2020-01-28,participants,110
2020-01-28,features,109
2020-01-28,communication,105
2020-01-29,hearing,246
2020-01-29,children,178
2020-01-29,recognition,172
2020-01-29,patients,169
2020-01-29,noise,128
2020-01-29,features,113
2020-01-29,participants,112
2020-01-29,communication,108
2020-01-30,hearing,247
2020-01-30,children,187
2020-01-30,recognition,183
2020-01-30,patients,172
2020-01-30,noise,129
2020-01-30,features,127
2020-01-30,participants,116
2020-01-30,communication,114
2020-01-31,hearing,275
2020-01-31,children,216
2020-01-31,recognition,214
2020-01-31,patients,172
2020-01-31,features,142
2020-01-31,noise,141
2020-01-31,participants,122
2020-01-31,social,118
2020-02-01,recognition,299
